,drop_off_instructions,material_name,material_synonyms,material_title,special_instructions,stream_name,stream_title,Location Category,Type
197,,e-reader,"Fire, Kindle, Kobo, Amazon, e-reader, ereader, Ereader",E-Reader,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
198,,e-reader,"Fire, Kindle, Kobo, Amazon, e-reader, ereader, Ereader",E-Reader,,reuse,Reuse,None,None
199,,explosives,"fireworks, dynomite",Explosives,,edmonton_police_service,Edmonton Police Service,Chemicals,Waste
200,There is no curbside collection for this item. Take it to an Eco Station for free. It will be recycled.,extension_cord,,Extension cord,,wizard_eco_stations,Eco Station,Electronics,E-Cycling
201,,aerosol_can_hazardous_contents,"spray paint, spraypaint, spray-paint, spray cleaner, oven cleaner, insecticide  spray can, insecticide, pesticide",Aerosol can (hazardous contents),,wizard_household_hazardous_waste,Household Hazardous Waste,None,None
202,,furniture,"table, boxspring, box spring, FURNATURE, furnture, funiture, wicker, furintiture, patio chairs, picnic tables, armoire, arm chairs, art tables, bassinet, crib, baby chair, lazy boy chair, chair, arm chair, bed frames, head boards, headboards, benches, cabinet, lawnchair, loveseat, nightstand, love seat, Desk, Dresser, Futon, Futon, Piano, Piano, Piano, dresser, dresser, book shelve, book shelve, Wardrobe, Wardrobe, Night stand, Night stand, Desck, Desck, massage table, massage table, Wooden couch frame, Television stand, Television stand, Reclianer, Reclianer, broken wood furnitures",Furniture,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
203,,screws_nails,"hardware, sharps",Screws & nails,"Keep your collector safe. Put nails in a box and label ""sharp objects"". Place beside your garbage.",wizard_garbage,Garbage,None,None
204,,calculator,,Calculator,,wizard_garbage,Garbage,None,None
205,,pet_waste_bedding,"litter, droppings cat, pet, carefresh, animal bedding, woodchips, dog dirt, dog poo, dog doo, feces, rabbit, shavings, wood chips, wood shavings, wood shavings with animal waste in it, wood shavings with animal waste in it",Pet waste & bedding,Please double bag.,wizard_garbage,Garbage,None,None
206,,shoe_polish,,Shoe polish,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
207,,plastic_bottle_beverage,"juice, waterbottle, waterbottle, Ensure drink bottle, Ensure drink bottle, Glucerna bottle, Glucerna bottle, Plastic water bottle, plastic milk bottle, plastic milk bottle, Pediasure, Pediasure, clamato, clamato, Liquor bottles, Yogurt drink container, Yogurt drink container, 2 litre pop",Plastic bottle (beverage),Remove bottle cap and place separately in recycling.,wizard_recycling_depots,Recycling Depot,Household,plastic
208,,facial_tissues,"tissues, kleenex, Kleenex, kleenix ",Facial tissues,,wizard_garbage,Garbage,None,None
209,,felt,,Felt,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
210,,felt,,Felt,,wizard_garbage,Garbage,None,None
211,,firearms_and_ammunition,"gun, guns, shotgun, pistol, bullet, bullets",Firearms and ammunition,,edmonton_police_service,Edmonton Police Service,None,None
212,,plastic_vegetable_clamshell_container,,Plastic vegetable clamshell container,,,,Household,plastic
213,,floral_arranging_supplies,"Flower picks, holders",Floral arranging supplies,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
214,,floral_arranging_supplies,"Flower picks, holders",Floral arranging supplies,,wizard_garbage,Garbage,None,None
215,,flower_plant_markers_tags,,Flower/plant markers & tags,,wizard_garbage,Garbage,None,None
216,,flyers,"paper, print, printed paper, junk mail, flyer, brochures, non-addressed mail, ads",Flyers,,wizard_recycling,Recycling,Household,Paper
217,,flyers,"paper, print, printed paper, junk mail, flyer, brochures, non-addressed mail, ads",Flyers,,wizard_recycling_depots,Recycling Depot,None,None
218,,foil_bag,,Foil bag,,wizard_garbage,Garbage,None,None
219,,cup_styrofoam,"cup, PS 6, styrefome, styrofome, styrophome, styrofome, styrophome, styroform, styrophom, strofoam, stryafoam, stryofoam, stirofoam, stryofoam, styrofoan, number 6, polystyrene, Booster juice cup, Booster juice cup",Styrofoam cup,"Did you know? Styrofoam will be used to make ethanol and methanol in Edmontons new Waste to Biofuels and Chemicals Facility. Learn more at ""http://edmonton.ca/ewmc"">edmonton.ca/ewmc.",wizard_garbage,Garbage,None,None
220,,polystyrene_foam,,Polystyrene foam,,wizard_garbage,Garbage,None,None
221,,freezer_paper,,Freezer paper,,wizard_garbage,Garbage,None,None
222,,fridge_magnet,,Fridge magnet,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
223,,fridge_magnet,,Fridge magnet,,wizard_garbage,Garbage,None,None
224,,plastic_stir_stick,,Plastic stir stick,,wizard_garbage,Garbage,None,None
225,,frozen_juice_can_lid,,Frozen juice can lid,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
226,,frying_pan,"teflon pan, metal pan",Frying pan,   ,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,construction,Waste
227,,frying_pan,"teflon pan, metal pan",Frying pan,   ,reuse,Reuse,None,None
228,,frying_pan,"teflon pan, metal pan",Frying pan,   ,wizard_garbage,Garbage,None,None
229,There is no curbside collection for scrap metal. Take it to an Eco Station for free. It will be recycled.,furnace,,Furnace,,wizard_eco_stations,Eco Station,Construction,Waste
230,,juice_carton,"Tetra, beverage container",Juice carton,,wizard_recycling_depots,Recycling Depot,Household,paper
231,,garden_hose,"rubber hose, vinyl hose, hoses, air hoses, gardenhose",Garden hose,,wizard_garbage,Garbage,None,None
232,,baseboards,", baseboard",Baseboards,,wizard_construction_renovation_and_demolition_waste,"Construction, Renovation and Demolition Waste",None,None
233,,gift_bags_foil_plastic,,"Gift bag (foil, plastic)","Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",drop-off_-_reuse_centre,Reuse Centre,Household,plastic
234,,gift_bags_foil_plastic,,"Gift bag (foil, plastic)","Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_garbage,Garbage,None,None
235,,gift_bags_paper,,Gift bag (paper),"Please remove handles before putting item in the recycling. Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",drop-off_-_reuse_centre,Reuse Centre,Household,paper
236,,gift_bags_paper,,Gift bag (paper),"Please remove handles before putting item in the recycling. Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_recycling,Recycling,None,None
237,,gift_bags_paper,,Gift bag (paper),"Please remove handles before putting item in the recycling. Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_recycling_depots,Recycling Depot,None,None
238,,gift_box,,Gift box (foil or non-paper),"Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",drop-off_-_reuse_centre,Reuse Centre,Household,paper
239,,gift_box,,Gift box (foil or non-paper),"Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_garbage,Garbage,None,None
240,,gift_bag_paper_cardboard,,"Gift box (paper, cardboard)","Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",drop-off_-_reuse_centre,Reuse Centre,Household,paper
241,,gift_bag_paper_cardboard,,"Gift box (paper, cardboard)","Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_recycling,Recycling,None,None
242,,gift_bag_paper_cardboard,,"Gift box (paper, cardboard)","Consider reuse! Keep used gift bags, boxes and tissue paper to wrap future gifts.",wizard_recycling_depots,Recycling Depot,None,None
243,,conditioner_tube,"hair, shampoo, shampoo/conditioner, shampoo/conditioner",Conditioner tube,,wizard_garbage,Garbage,None,None
244,,screen_door,,Screen door,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
245,,aluminium_can,"aluminum, alumimum, aluminium, alluminum, Aluminnun",Aluminium can,,wizard_recycling,Recycling,Household,Aluminum
246,,lotion_tube,", plastic hand cream tube",Lotion tube,,wizard_garbage,Garbage,None,None
247,,lawn_furniture,"picnic table, lawnchair, lawn chair, gazebo, lawn swing, Gardenchairs, patio table, broken lawn furniture",Lawn furniture,"Drop off this item for free at a Big Bin Event. Twelve events are held by the City between spring and fall. See ""http://edmonton.ca/bigbinevents"" edmonton.ca/bigbinevents for dates and locations.",eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
248,,plastic_tote,"Rubbermaid, storage bins, Tubberware, Tubberware, plastic bins",Plastic tote,"If your plastic tote does not fit inside a garbage bag, place a sign on it that says for waste pick up and it set out for collection.",reuse,Reuse,None,None
249,,appliance_small,"toaster, blender, crockpot, popcorn machine, coffee grinder, espresso machine, humidifier, dehumidifier, blender, stick blender, magic bullet, food slicer, bread slicer, coffee machine, raclette, grill, mixer, pressure cooker, ice cream machine, fan, iron, microwave, vacuum, vacuum cleaner, food processor, kettle, bread machine, bread maker, blow drier, blow dryer, mixer, toaster oven, waffle maker, slow cooker, crock pot, deep fryer, , heater, Clothes iron, flashlight, Water pick, Steamer, Steamer, Curling iron, Paper shredder, Paper shredder, Hairdryer, Crockpot, Crockpot, Rotesseri, coffee grinder, electric coffee perculator, coffee machine, electric fan",Appliance (small),,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,Waste
250,,cloth_napkin,,Cloth napkin,,reuse,Reuse,None,None
251,,glass_aquarium,,Glass aquarium,,reuse,Reuse,Household,Glass
252,,glass_aquarium,,Glass aquarium,,eco_station_-_bulky_item,Eco Station - Bulky Items,None,None
253,,styrofoam_packing,Styrofoam packaging,Styrofoam packing,,wizard_garbage,Garbage,None,None
254,,nut_can,,Nut can,,wizard_garbage,Garbage,None,None
255,,dish_rack,dishrack,Dish rack,,reuse,Reuse,Waste,Waste
256,,hair_brush,"comb, brush, Hair brush",Hairbrush,,wizard_garbage,Garbage,None,None
257,,plastic_jug,HDPE,Plastic jug,Remove cap and place separately in recycling.,wizard_recycling,Recycling,Household,Plastic
258,There is no curbside collection for this electronic item. Take it to an Eco Station for free. It will be recycled.,hard_drive,Harddrive,Hard drive,,wizard_eco_stations,Eco Station,Electronics,Computers
259,,high_chair,highchair,High chair,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
260,,high_chair,highchair,High chair,,reuse,Reuse,None,None
261,,cupboards,,Cupboards,,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),Waste,Waste
262,,cupboards,,Cupboards,,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,None,None
263,,desk,,Desk,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
264,,pillow,,Pillow,,wizard_garbage,Garbage,None,None
265,,household_cleaner_non-toxic,"household cleaning products, cleansers, clr, c.l.r, febreeze, Sofener, windex",Household cleaner (non-toxic),Empty plastic bottles can go in the recycling. Please remove spray nozzel(s) and place in garbage.,wizard_garbage,Garbage,None,None
266,,deodorant,", deoderant",Deodorant,,wizard_garbage,Garbage,None,None
267,,umbrella,"Umbrela, umbrellas, umberallas, Umbrellas, Umnrella, Umnrella",Umbrella,,wizard_garbage,Garbage,None,None
268,,cassettes,"audio cassettes, tapes, audio tapes, audio books",Audio cassette tape,,wizard_garbage,Garbage,None,None
269,,cassettes,"audio cassettes, tapes, audio tapes, audio books",Audio cassette tape,,drop-off_-_reuse_centre,Reuse Centre,None,None
270,,jar_lid,,Jar lid,Remove lid from jar before placing in recycling.,wizard_recycling,Recycling,Household,Waste
271,,jar_lid,,Jar lid,Remove lid from jar before placing in recycling.,wizard_recycling_depots,Recycling Depot,None,None
272,,juice_box,"drinking box, cartons, containers, Tetra paks, packs, juice boxes, beverages, juice, drinks, tetrapak, juiceboxes, beverage containers",Juice box,Remove plastic straw and place in garbage.,bottle_depot,Bottle Depot,Household,Paper
273,,juice_box,"drinking box, cartons, containers, Tetra paks, packs, juice boxes, beverages, juice, drinks, tetrapak, juiceboxes, beverage containers",Juice box,Remove plastic straw and place in garbage.,wizard_recycling,Recycling,None,None
274,,juice_box,"drinking box, cartons, containers, Tetra paks, packs, juice boxes, beverages, juice, drinks, tetrapak, juiceboxes, beverage containers",Juice box,Remove plastic straw and place in garbage.,wizard_recycling_depots,Recycling Depot,None,None
275,,juice_carton,"Tetra, beverage container",Juice carton,,bottle_depot,Bottle Depot,None,None
276,,juice_carton,"Tetra, beverage container",Juice carton,,wizard_recycling,Recycling,None,None
277,,juice_or_drink_pouch,"stand-up flexible pouches, packets, Capri-Sun, bags, beverages, Bibo, Capri Sun, Hi-C, fruit juice, Kool-Aid Jammers",Juice or drink pouch,Plastic straws go in the garbage.,bottle_depot,Bottle Depot,Household,Plastic
278,,juice_or_drink_pouch,"stand-up flexible pouches, packets, Capri-Sun, bags, beverages, Bibo, Capri Sun, Hi-C, fruit juice, Kool-Aid Jammers",Juice or drink pouch,Plastic straws go in the garbage.,wizard_recycling,Recycling,None,None
279,,juice_or_drink_pouch,"stand-up flexible pouches, packets, Capri-Sun, bags, beverages, Bibo, Capri Sun, Hi-C, fruit juice, Kool-Aid Jammers",Juice or drink pouch,Plastic straws go in the garbage.,wizard_recycling_depots,Recycling Depot,None,None
280,,keys,,Keys,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
281,,keys,,Keys,,wizard_garbage,Garbage,None,None
282,,curtains,"drapes, drapery",Curtains,,wizard_garbage,Garbage,None,None
283,,lunch_meat_packaging_plastic,luncheon,Lunch meat packaging (plastic),,wizard_garbage,Garbage,None,None
284,,cupboards,,Cupboards,,wizard_reuse_-_building_materials,Reuse - Building Materials,None,None
285,,plastic_bag,"shopping bag, grocery bag, dry cleanning bag, frozen fruit bag, Frozen fruit bags, Safeway shopping bags, Pastic bagd, Ldpe, Ldpe, Potato bag, Potato bag, Plastic shopping bags, Plastic grocery bags, Ziplock bags, Ziplock bags, carrot bag, carrot bag, cat treat bag, cat treat bag, vegetable bag",Plastic bag,Stuff plastic bags into one and tie closed. This makes them easier for us to sort. Reuse tip: do you often forget to bring reuseable bags for your shopping trip? Keep a stash of plastic grocery and shopping bags in your vehicle!,wizard_recycling_depots,Recycling Depot,Household,plastic
286,,curtains,"drapes, drapery",Curtains,,reuse,Reuse,None,None
287,,kitty_litter,cat litter,Kitty litter,Please double bag. It keeps your waste collector safe.,wizard_garbage,Garbage,None,None
288,There is no curbside collection for this bulky item.,ladder_metal,,Ladder (metal),,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Scrap Metals,Waste
289,,laminated_paper,,Laminated paper,,wizard_garbage,Garbage,None,None
290,,plastic_bottle_cap,", Plastic lids and caps, Plastic lids and caps, pop bottle cap, pop bottle cap, Glucerna meal replacement plastic bottles, Glucerna meal replacement plastic bottles","Bottle cap, plastic or metal",Remove cap from bottle and place separately in recycling.,wizard_recycling,Recycling,Household,Plastic
291,,lamp,,Lamp,,reuse,Reuse,Waste,Waste
292,,dish_rack,dishrack,Dish rack,,wizard_garbage,Garbage,None,None
293,,pillow,,Pillow,,reuse,Reuse,None,None
294,,cupboards,,Cupboards,,wizard_construction_renovation_and_demolition_waste,"Construction, Renovation and Demolition Waste",None,None
295,,tree_trimmings,"flowers, weeds, brush, shubbery, shub, wood cuttings, juniper tree",Tree trimmings,"Small tree trimmings can be bundled and set out for curbside collection. Bundles must be less than 1.2m (4 feet) long and 20 kg (44lbs). Larger loads can be taken to an ""http://edmonton.ca/ecostation"" Eco Station or the ""http://edmonton.ca/ewmc"">Edmonton Waste Management Centre for disposal. Disposal fees apply. Are these elm trimmings? To prevent the spread of ""https://www.edmonton.ca/programs_services/pests/dutch-elm-disease.aspx"">Dutch elm disease, there are special disposal instructions for elm wood. Please search elm wood in the WasteWise tool.",,,Yard,Waste
296,,plastic_bottle_beverage,"juice, waterbottle, waterbottle, Ensure drink bottle, Ensure drink bottle, Glucerna bottle, Glucerna bottle, Plastic water bottle, plastic milk bottle, plastic milk bottle, Pediasure, Pediasure, clamato, clamato, Liquor bottles, Yogurt drink container, Yogurt drink container, 2 litre pop",Plastic bottle (beverage),Remove bottle cap and place separately in recycling.,bottle_depot,Bottle Depot,None,None
297,,nail_polish,", Nailpolish",Nail polish,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
298,,leather_scraps,,Leather scraps,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
299,,leather_scraps,,Leather scraps,,wizard_garbage,Garbage,None,None
300,,leaves,leaf,Leaves,"This item is great for home composting! Visit ""http://edmonton.ca/compost"" edmonton.ca/compost to get started. Did you know? Food & yard waste is sorted out of your garbage and composted at the Edmonton Waste Management Centre. This helps Edmonton divert over 50% of household waste from landfill. ",wizard_garbage,Garbage,None,None
301,,bicycle,"bike, bicycles, bike frames, , children's bicycle, children's bicycle",Bicycle,,eco_station_-_scrap_metal_recycling,Eco Station - Scrap Metal Recycling,Waste,Waste
302,,desk,,Desk,,reuse,Reuse,None,None
303,,shower_cap,,Shower cap,,reuse,Reuse,None,None
304,,light_fixture,"light ballast, lighting",Light fixture,,reuse,Reuse,Waste,Waste
305,,luggage,"suitcase, suit case, trunk, travel, briefcase",Luggage,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
306,,luggage,"suitcase, suit case, trunk, travel, briefcase",Luggage,,reuse,Reuse,None,None
307,,ice_cube_tray,,Ice cube tray,,wizard_garbage,Garbage,None,None
308,,make-up_pad,"makeup pad, clean make up pad, makeup pads, make up pad, make-up pads, clean make up pads",Make-up pad,,wizard_garbage,Garbage,None,None
309,,make-up_sponge,,Make-up sponge,,wizard_garbage,Garbage,None,None
310,,maps_paper,,Maps (paper),,drop-off_-_reuse_centre,Reuse Centre,Household,paper
311,,maps_paper,,Maps (paper),,wizard_recycling,Recycling,None,None
312,,maps_paper,,Maps (paper),,wizard_recycling_depots,Recycling Depot,None,None
313,,masking_tape,,Masking tape,,wizard_garbage,Garbage,None,None
314,,mesh_produce_bag,"Plastic Netting, Net bag, plastic mesh bag",Mesh produce bag,,wizard_garbage,Garbage,None,None
315,,microwave,"microven, microoven, mircrowave, microwavw, microwae, microwvave",Microwave,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
316,,microwave,"microven, microoven, mircrowave, microwavw, microwae, microwvave",Microwave,,reuse,Reuse,None,None
317,,milk_carton,,Milk carton,,bottle_depot,Bottle Depot,Household,Paper
318,,milk_carton,,Milk carton,,wizard_recycling,Recycling,None,None
319,,milk_carton,,Milk carton,,wizard_recycling_depots,Recycling Depot,None,None
320,,milk_jug_lid,,Milk jug lid,,drop-off_-_reuse_centre,Reuse Centre,None,None
321,,milk_jug_lid,,Milk jug lid,,wizard_recycling,Recycling,None,None
322,,mug,,Mug,,reuse,Reuse,Waste,Waste
323,,mug,,Mug,,wizard_garbage,Garbage,None,None
324,,oven_cleaner,stove cleaner,Oven cleaner,,wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
325,,propane_tank,"BBQ tanks, camping fuel, propane torch",Propane tank,"Please note: Eco Stations accept tanks up to 30 lbs. For disposal options for larger tanks, please consult the ""http://www.recyclinghotline.ca/"" Alberta Recycling Hotline Directory.",wizard_household_hazardous_waste,Household Hazardous Waste,Chemicals,Waste
326,,varnish_lacquer,,Varnish & lacquer,,wizard_eco_stations,Eco Station,None,None
327,,teabag,"Tea leaves, teabag, teabag packages",Tea bag,"This item is great for home composting! Visit ""http://edmonton.ca/compost"" edmonton.ca/compost to get started.  Did you know? Food & yard waste is removed from your garbage and composted at the Edmonton Waste Management Centre. This helps Edmonton divert over 50% of household waste from landfill.",wizard_garbage,Garbage,None,None
328,,umbrella,"Umbrela, umbrellas, umberallas, Umbrellas, Umnrella, Umnrella",Umbrella,,reuse,Reuse,None,None
329,,radio,,Radio,,reuse,Reuse,Electronics,E-Cycling
330,,plant_pots_trays_plastic,"Flower pots, flower trays, bedding plant containers, garden, Planter, Planter, plastic flower pots, plastic plant pots",Plant pots & trays (plastic),Remove soil and rinse item before placing in recycling.,wizard_recycling_depots,Recycling Depot,Household,Plastic
331,,organics,,Organics,"Did you know? The organic component of your waste is removed from your garbage at the Edmonton Waste Management Centre and composted. This helps Edmonton divert over 50% of household waste from landfill. Most organics are great for home composting! Learn more at ""http://edmonton.ca/compost"" edmonton.ca/compost.",wizard_garbage,Garbage,None,None
332,,photo_album_page,,Photo album page,,wizard_garbage,Garbage,None,None
333,,drywall,"Gypsum, gypsum board, dry wall",Drywall,Drywall must be clean and unpainted in order to be accepted for recycling at the Construction and Demolition Waste Recycling Facility.,wizard_construction_and_demolition_waste,Construction and Demolition Waste Recycling,construction,Waste
334,,plastic_jug,HDPE,Plastic jug,Remove cap and place separately in recycling.,wizard_recycling_depots,Recycling Depot,None,None
335,,shredded_paper,", shreddedpaper, shreddedpaper, Shredding",Shredded paper,"Thanks for keeping shredded paper out of your blue bag or apartment blue bin. Due to its confetti-like nature, shredded paper causes problems with sorting machinery at the ""https://www.edmonton.ca/programs_services/garbage_waste/materials-recovery-facility.aspx"">Materials Recovery Facility and makes it harder to recycle the right stuff.  Shredded paper can be taken to a ""http://edmonton.ca/recyclingdepots"" Recycling Depot, since paper collected from depots does not go to the Materials Recovery Facility.  This item is great for home composting!  Get started at ""http://edmonton.ca/compost"" edmonton.ca/compost.",wizard_garbage,Garbage,None,None
336,,pillows_cushions,"down pillow, pillow case, cushion,",Pillows & cushions,,reuse,Reuse,Waste,Waste
337,,video_game_system,"PS3, nintendo, wii system, wii system, ps6, Xbox",Video game system,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,None,None
338,,bicycle,"bike, bicycles, bike frames, , children's bicycle, children's bicycle",Bicycle,,reuse,Reuse,None,None
339,,paper_egg_carton,Cardboard egg carton,Paper egg carton,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
340,,paper_egg_carton,Cardboard egg carton,Paper egg carton,,wizard_recycling,Recycling,None,None
341,,paper_egg_carton,Cardboard egg carton,Paper egg carton,,wizard_recycling_depots,Recycling Depot,None,None
342,,solid_air_freshener,air freshner,Solid air freshener,,wizard_garbage,Garbage,None,None
343,,flour_bag,,Flour bag,,wizard_garbage,Garbage,None,None
344,,chocolate_box_paper_or_cardboard,,Chocolate box (paper or cardboard),Remove plastic tray and dispose of in garbage.,wizard_recycling,Recycling,None,None
345,,building_material,,Building material,,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,construction,Waste
346,,building_material,,Building material,,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),None,None
347,,drywall,"Gypsum, gypsum board, dry wall",Drywall,Drywall must be clean and unpainted in order to be accepted for recycling at the Construction and Demolition Waste Recycling Facility.,eco_station_-_construction_scrap,Eco Station - Loose or Mixed Waste,None,None
348,,parchment_paper,,Parchment paper,,wizard_garbage,Garbage,None,None
349,,rags,,Rags,,wizard_garbage,Garbage,None,None
350,,pasta,"noodles, orzo, semolina",Pasta,Did you know? Food & yard waste is sorted out of your garbage and composted at the Edmonton Waste Management Centre. This helps Edmonton divert over 50% of household waste from landfill. ,wizard_garbage,Garbage,None,None
351,,peanut_butter_jar,,Peanut butter jar,"Having trouble cleaning your jar? Fill 1/3 of the jar with hot soapy water, replace the lid, and shake the jar for a minute. ",wizard_recycling,Recycling,Household,Glass
352,,peanut_butter_jar,,Peanut butter jar,"Having trouble cleaning your jar? Fill 1/3 of the jar with hot soapy water, replace the lid, and shake the jar for a minute. ",wizard_recycling_depots,Recycling Depot,None,None
353,,fabric_clean,"burlap, textile, textile scrap, Cloth, Denim, upholstry, textiles, Cotton",Fabric (clean),Fabric donations to the Reuse Centre must be a minimum of 0.25 metres.,drop-off_-_reuse_centre,Reuse Centre,None,None
354,,broken_ceramics,"vases, plates, cups, flower pots, planters, Porcelain, broken pottery, broken pottery, Broken china dish, Broken china dish",Broken ceramics,"Keep your collector safe. If your broken ceramics are sharp, put them in a box and label ""sharp objects"". Place beside your garbage for collection.",wizard_garbage,Garbage,None,None
355,,pet_food_bag,"Cat food; dog food; puppy chow, bnanna pel, Dog food bags",Pet food bag,,wizard_garbage,Garbage,None,None
356,,cd_case,"Compact disc case, Plastic cd cover, CD.s",CD case,,drop-off_-_reuse_centre,Reuse Centre,None,None
357,,binder,", 3 ring binder, 3 ring binder, binders, binders, binders, binders, Binders, Binders, Binders, Binders",Binder,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
358,,binder,", 3 ring binder, 3 ring binder, binders, binders, binders, binders, Binders, Binders, Binders, Binders",Binder,,wizard_garbage,Garbage,None,None
359,There is no curbside collection for this electronic item. ,telephone,"telephone, cell phone, iphone",Phone,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
360,,needles_syringes,"needles, syringes, lancets, sharps, Syringe, Syringe",Needles & syringes,"Package medical sharps safely.  For drop off at an Eco Station, place needles in a thick, puncture-proof plastic container with screw-top lid (e.g.  laundry detergent bottle) and label ""sharps."" Thanks for keeping needles and syringes out of your garbage and recycling. This keeps waste collectors and sorters safe.",wizard_eco_stations,Eco Station,Chemicals,Waste
361,,coiled_paper_notebook,"handbook, spiral bound, spiral bound, notebook, notebook",Coiled paper notebook,Remove plastic or metal coil binding before placing item in recycling.,wizard_recycling_depots,Recycling Depot,Household,paper
362,,scouring_pad,"Scour, scourer",Scouring pad,,wizard_garbage,Garbage,None,None
363,,snowblower,,Snowblower,,wizard_eco_stations,Eco Station,Household,Waste
364,,pillows_cushions,"down pillow, pillow case, cushion,",Pillows & cushions,,wizard_garbage,Garbage,None,None
365,,lamp,,Lamp,,wizard_eco_stations,Eco Station,None,None
366,,furniture,"table, boxspring, box spring, FURNATURE, furnture, funiture, wicker, furintiture, patio chairs, picnic tables, armoire, arm chairs, art tables, bassinet, crib, baby chair, lazy boy chair, chair, arm chair, bed frames, head boards, headboards, benches, cabinet, lawnchair, loveseat, nightstand, love seat, Desk, Dresser, Futon, Futon, Piano, Piano, Piano, dresser, dresser, book shelve, book shelve, Wardrobe, Wardrobe, Night stand, Night stand, Desck, Desck, massage table, massage table, Wooden couch frame, Television stand, Television stand, Reclianer, Reclianer, broken wood furnitures",Furniture,,reuse,Reuse,None,None
367,,bakery_container_plastic,"Muffin, cookie, cookies, croissant, croissont, crossont",Plastic bakery container,,wizard_recycling,Recycling,Household,Plastic
368,,bakery_container_plastic,"Muffin, cookie, cookies, croissant, croissont, crossont",Plastic bakery container,,wizard_recycling_depots,Recycling Depot,None,None
369,,glass_jar,"Clear glass, colour glass, color glass, pickle jars, canning jar, jar, Gkass, Glass.jars, Glass.jars",Glass jar,"Remove caps and lids and place in recycling. Did you know? Canning jars and baby food jars are accepted for reuse at the ""http://edmonton.ca/reusecentre"">Reuse Centre.",wizard_recycling,Recycling,Household,Glass
370,,plastic_egg_carton,,Plastic egg carton,,drop-off_-_reuse_centre,Reuse Centre,Household,paper
371,,plastic_egg_carton,,Plastic egg carton,,wizard_recycling,Recycling,None,None
372,,plastic_egg_carton,,Plastic egg carton,,wizard_recycling_depots,Recycling Depot,None,None
373,,plastic_packaging,Moulded Packaging,Plastic packaging,,wizard_garbage,Garbage,None,None
374,,plastic_plate,,Plastic plate,,wizard_garbage,Garbage,None,None
375,,plastic_shower_curtain,,Plastic shower curtain,,wizard_garbage,Garbage,None,None
376,,sink_ceramic_or_porcelain,,Sink (ceramic or porcelain),,edmonton_waste_management_centre_ewmc,Edmonton Waste Management Centre (EWMC),Waste,Waste
377,There is no curbside colleciton for this item.,christmas_lights,,Christmas lights,,wizard_eco_stations,Eco Station,Electronics,E-Cycling
378,,foam_roller,,Used paint roller,Paint must be completely dry.,wizard_garbage,Garbage,None,None
379,,playpen,play pen,Playpen,,eco_station_-_bulky_item,Eco Station - Bulky Items,Waste,Waste
380,,playpen,play pen,Playpen,,reuse,Reuse,None,None
381,,asphalt_shingles,", SHINGLES, SHINGLES",Asphalt shingles,Please note: only segregated loads of asphalt shingles are accepted at the Construction & Demolition (C&D) Waste Recycling Facility. They are not accepted in mixed loads of C&D waste.,wizard_construction_and_demolition_waste,Construction and Demolition Waste Recycling,construction,Waste
